Date,Open,High,Low,Close,Volume,Open Interest
2018-02-15,19790.0,19830.0,19500.0,19560.0,2555.0,7373.0
2018-02-14,19860.0,19900.0,19670.0,19730.0,2494.0,7768.0
2018-02-13,19950.0,19970.0,19880.0,19910.0,505.0,8143.0
2018-02-12,20160.0,20160.0,19910.0,19960.0,2079.0,8251.0
2018-02-09,20160.0,20300.0,20000.0,20020.0,3344.0,8405.0
2018-02-08,19940.0,20260.0,19880.0,20180.0,3210.0,8489.0
2018-02-07,19820.0,20000.0,19810.0,19980.0,1940.0,8787.0
2018-02-06,19920.0,19950.0,19750.0,19780.0,2714.0,8888.0
2018-02-05,20150.0,20160.0,19930.0,20040.0,2062.0,9218.0
2018-02-02,20340.0,20450.0,20120.0,20160.0,3869.0,9271.0
2018-02-01,20110.0,20370.0,20020.0,20300.0,3520.0,9366.0
2018-01-31,20100.0,20170.0,19920.0,20050.0,4577.0,9636.0
2018-01-30,19850.0,20080.0,19780.0,19820.0,1071.0,1144.0
2018-01-29,20240.0,20240.0,19860.0,19900.0,1761.0,1243.0
2018-01-25,20320.0,20480.0,20320.0,20380.0,2815.0,1592.0
2018-01-24,20600.0,20620.0,20260.0,20310.0,3495.0,2550.0
2018-01-23,20870.0,20880.0,20570.0,20610.0,1694.0,3994.0
2018-01-22,20980.0,21020.0,20790.0,20810.0,2176.0,4203.0
2018-01-19,20750.0,20990.0,20730.0,20950.0,2745.0,4606.0
2018-01-18,20830.0,21040.0,20770.0,20810.0,3721.0,5018.0
2018-01-17,20640.0,20770.0,20600.0,20680.0,1698.0,5542.0
2018-01-16,0.0,0.0,0.0,20100.0,0.0,0.0
2018-01-15,0.0,0.0,0.0,20800.0,0.0,0.0
2018-01-12,20850.0,21170.0,20550.0,20720.0,7236.0,7077.0
2018-01-11,0.0,0.0,0.0,20180.0,0.0,1.0
2018-01-10,0.0,0.0,0.0,20180.0,0.0,1.0
2018-01-09,20180.0,20250.0,20030.0,20120.0,2341.0,8158.0
2018-01-08,0.0,0.0,0.0,20800.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,20800.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,20800.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,20800.0,0.0,0.0
2018-01-02,20520.0,20610.0,20450.0,20520.0,12.0,40.0
2017-12-29,0.0,0.0,0.0,20100.0,0.0,0.0
2017-12-28,0.0,0.0,0.0,20780.0,0.0,27.0
2017-12-27,20800.0,20800.0,20640.0,20780.0,12.0,27.0
2017-12-26,20030.0,20190.0,19990.0,20060.0,1542.0,1821.0
2017-12-22,0.0,0.0,0.0,20100.0,0.0,0.0
2017-12-21,0.0,0.0,0.0,20100.0,0.0,0.0
2017-12-20,0.0,0.0,0.0,20100.0,0.0,0.0
2017-12-19,0.0,0.0,0.0,19200.0,0.0,0.0
2017-12-18,0.0,0.0,0.0,19080.0,0.0,0.0
2017-12-15,0.0,0.0,0.0,19900.0,0.0,0.0
2017-12-14,0.0,0.0,0.0,19300.0,0.0,0.0
2017-12-13,0.0,0.0,0.0,18480.0,0.0,0.0
2017-12-12,19370.0,19570.0,19290.0,19540.0,1400.0,5080.0
2017-12-11,0.0,0.0,0.0,19300.0,0.0,0.0
2017-12-08,0.0,0.0,0.0,19300.0,0.0,0.0
2017-12-07,19290.0,19320.0,19240.0,19280.0,22.0,191.0
2017-12-06,0.0,0.0,0.0,18600.0,0.0,0.0
2017-12-05,0.0,0.0,0.0,19300.0,0.0,0.0
2017-12-04,19080.0,19440.0,19080.0,19210.0,3695.0,3905.0
2017-10-13,18160.0,18170.0,18070.0,18090.0,345.0,3424.0
2017-10-12,18410.0,18470.0,18100.0,18200.0,777.0,3436.0
2017-10-11,18560.0,18570.0,18320.0,18370.0,577.0,3247.0
2017-10-10,18350.0,18580.0,18300.0,18530.0,377.0,3210.0
2017-10-09,18270.0,18350.0,18230.0,18320.0,405.0,3170.0
2017-10-06,18220.0,18250.0,18100.0,18230.0,333.0,3240.0
2017-10-05,18250.0,18400.0,18190.0,18220.0,562.0,3169.0
2017-10-04,18160.0,18220.0,18150.0,18180.0,196.0,3128.0
2017-10-03,18200.0,18200.0,18110.0,18180.0,693.0,3153.0
2017-09-29,18180.0,18300.0,18180.0,18290.0,279.0,3082.0
2017-09-28,18230.0,18350.0,18180.0,18200.0,520.0,3031.0
2017-09-27,18200.0,18300.0,18140.0,18280.0,312.0,3090.0
2017-09-26,18170.0,18290.0,18070.0,18200.0,692.0,3087.0
2017-09-25,18000.0,18180.0,17900.0,18130.0,349.0,2825.0
2017-09-22,17950.0,18020.0,17930.0,18000.0,390.0,2816.0
2017-09-21,17890.0,18010.0,17890.0,17990.0,566.0,2918.0
2017-09-20,17960.0,18020.0,17910.0,17970.0,429.0,2783.0
2017-09-19,18040.0,18060.0,17950.0,17960.0,256.0,2698.0
2017-09-18,18080.0,18100.0,17900.0,18070.0,679.0,2664.0
2017-09-15,17940.0,18070.0,17930.0,18010.0,742.0,2848.0
2017-09-14,18040.0,18100.0,17940.0,17950.0,598.0,2853.0
2017-09-13,17990.0,18070.0,17900.0,17940.0,1261.0,3040.0
2017-09-12,18340.0,18360.0,18160.0,18250.0,501.0,3235.0
2017-09-11,18630.0,18670.0,18380.0,18430.0,659.0,3319.0
2017-09-08,18740.0,18940.0,18700.0,18840.0,340.0,3420.0
2017-09-07,18840.0,18840.0,18580.0,18640.0,590.0,3316.0
2017-09-06,19040.0,19050.0,18780.0,18980.0,850.0,3362.0
2017-09-05,18450.0,19040.0,18440.0,18930.0,877.0,2991.0
2017-09-04,18360.0,18430.0,18300.0,18420.0,164.0,2670.0
2017-09-01,17950.0,17960.0,17930.0,17940.0,70.0,874.0
2017-08-31,18170.0,18220.0,18050.0,18190.0,534.0,2504.0
2017-08-30,18190.0,18210.0,18050.0,18200.0,401.0,2295.0
2017-08-29,18090.0,18230.0,18040.0,18180.0,415.0,2049.0
2017-08-28,18100.0,18150.0,17900.0,18090.0,219.0,1979.0
2017-08-25,18160.0,18170.0,18050.0,18090.0,272.0,2041.0
2017-08-24,18000.0,18090.0,17970.0,18070.0,118.0,1823.0
2017-08-23,17930.0,18080.0,17880.0,17990.0,152.0,1759.0
2017-08-22,17760.0,17830.0,17730.0,17790.0,71.0,1738.0
